#,Name,Black Owned Confirmed?,Area,Direct Venmo/Donation Option/Giftcard,Cuisine/ Shop type,Website,Instagram,FB,Twitter,YouTube,Delivery Options,Combined Address,Street Address,City,State,Zipcode,Email Address,Phone
1,Rock City Pizza,Confirmed,Allston,,American,https://rockcitypizzeria.com/,https://www.instagram.com/rockcitypizzaallston/,https://www.facebook.com/RockCityPizzeria/,n/a,n/a,,"568 Cambridge St, Boston, MA 02134",568 Cambridge St,Allston,MA,2134,,
4,TamBos Kitchen,Unconfirmed,Avon,,West African,https://tamboskitchen.com/,https://www.instagram.com/tamboskitchen/,https://www.facebook.com/tamboskitchen/,n/a,https://www.youtube.com/channel/UCfh-OI9DB3WtmvQp4Vadk6w,Local ,"490 W Main St, Avon, MA 02322",490 W Main St,Avon,MA,2322,,
5,Restaurante Cesaria,Confirmed,Boston,,African/ Cape Verdean,https://www.restaurantcesaria.com/,https://www.instagram.com/restaurantecesaria/,https://www.facebook.com/RestaurantCesaria/,n/a,n/a,"Doordash, grubhub, ubereats","266 Bowdoin St, Boston, MA 02122",266 Bowdoin St,Boston,MA,2122,,
6,Bred Gourmet,Confirmed,Boston,http://www.bredgourmet.com/shopbred/bred-gift-card,American,http://www.bredgourmet.com/,https://www.instagram.com/bredgourmet/,https://www.facebook.com/BREDGOURMET/,https://twitter.com/BredGourmet,n/a,Grubhub,"2255 Dorchester Ave, Boston, MA 02124",2255 Dorchester Ave,Boston,MA,2124,,6176980103
7,Darryl's Corner Bar and Kitchen,Confirmed,Boston,https://www.toasttab.com/darryls-corner-bar-kitchen/giftcards / https://blackhospitalityco.com/,American,http://dcbkboston.com/,https://www.instagram.com/dcbkboston/,https://www.facebook.com/DCBKBoston/,https://twitter.com/DCBKBoston,n/a,Grubhub,"604 Columbus Ave, Boston, MA 02118",604 Columbus Ave,Boston,MA,2118,,6175361100
8,District 7 Tavern,Confirmed,Boston,https://blackhospitalityco.com/,American,https://www.facebook.com/District7Tavern/,https://www.instagram.com/discovervegans/,https://www.facebook.com/District7Tavern/,https://twitter.com/discovervegans,n/a,Pick Up ,"380 Warren St, Roxbury, MA 02119",380 Warren St,Roxbury,MA,2119,district7tavern@gmail.com,
9,Food for the Soul,Confirmed,Boston,,American,n/a,https://www.instagram.com/foodforthesoul9/,https://www.facebook.com/bostonsoulfood/,n/a,n/a,"Ubereats, Grubhub","651 Warren St, Boston, MA 02121",651 Warren St,Boston,MA,2121,,
10,Slades Bar and Grill,Confirmed,Boston,,American,http://www.sladesbarandgrill.com,n/a,https://www.facebook.com/Slades.Boston/,https://twitter.com/Slades_BarGrill,n/a,"Doordash, seamless","958 Tremont St, Boston, MA 02120",958 Tremont St,Boston,MA,2120,,
11,Wally's Café,Confirmed,Boston,"https://blackhospitalityco.com/
https://www.gofundme.com/f/wally039s-jazz-cafe-student-to-student-music-project?utm_source=customer&utm_medium=copy_link&utm_campaign=p_cf+share-flow-1",American,http://www.wallyscafe.com/index.html,https://www.instagram.com/wallyscafeboston/,https://www.facebook.com/pages/Wallys-Cafe-Jazz-Club-Boston-MA/332972676732064,n/a,n/a,,"427 Massachusetts Ave, Boston, MA 02118",427 Massachusetts Ave,Boston,MA,2118,,6174241408
11,Maxine's on Saint James,Unconfirmed,Boston,,American,https://www.maxinesonstjames.com/,https://www.instagram.com/maxonstjames/,https://www.facebook.com/Yourfoodourpassion/,n/a,n/a,"Grubhub,Seamless,Doordash, Postmates",,304 Dudley St,Boston,MA,2119,,
12,Top Mix Bar & Kitchen,Unconfirmed,Boston,,American,https://www.topmixbar.com/,https://www.instagram.com/topmixbar/,https://www.facebook.com/TopMixBarandKitchen/,n/a,n/a,"Uberets, grubhub","257 Norfolk Ave, Boston, MA 02119",257 Norfolk Ave,Boston,MA,2119,,
48,Caked,Confirmed,Boston,,Bakery,www.cakedboston.com,,,,,,,,Boston,MA,,info@cakedboston.com,617-221-8224
49,Clarke's Cakes and Cookies,Confirmed,Boston,$Vegan3Cs (cashapp),Bakery,https://www.clarkescakesandcookies.com/,https://www.instagram.com/clarkescakesandcookies/,https://www.facebook.com/Clarkes-Cakes-Cookies-990994454425625/,https://twitter.com/cakes_clarke,n/a,Local ,"196 Quincy St, Boston, MA 02121",196 Quincy St,Boston,MA,2121,,7816618623
50,Sweet Teez Bakery ,Confirmed,Boston,,Bakery ,https://www.sweetteezbakery.com/,https://www.instagram.com/sweetteezbakery/,https://www.facebook.com/sweetteezbakery/?ref=settings,https://twitter.com/SweetTeezBakery,n/a,,,,,MA,,,
51,Family Affair Catering,Confirmed,Boston,,Caribbean,https://famaffairboston.wixsite.com/mysite,https://www.instagram.com/famaffairboston/,https://www.facebook.com/FamAffairBoston/,n/a,n/a,Seamless,"554 Columbia Rd, Dorchester, MA 02125",554 Columbia Rd,Dorchester,MA,2125,,
52,Flames Restaurant,Confirmed,Boston,,Caribbean,http://flamesjamaicanrestaurants.com/,https://www.instagram.com/flamesrestaurant_/,https://www.facebook.com/Flames-Restaurant-116810905012950/,n/a,n/a,,"469 Blue Hill Ave, Boston, MA 02121",469 Blue Hill Ave,Boston,MA,2121,,
53,Flames Restaurant II,Confirmed,Boston,,Caribbean,http://flamesjamaicanrestaurants.com/,n/a,https://www.facebook.com/pages/Flames-Restaurant-II-Inc/120983514581739,,,,"746 Huntington Ave, Boston, MA 02115",746 Huntington Ave,Boston,MA,2115,,
54,Fresh Food Generation,Confirmed,Boston,,Caribbean,http://www.freshfoodgeneration.com/,https://www.instagram.com/freshfoodgeneration/,https://www.facebook.com/FreshFoodGeneration/,https://twitter.com/ffgeneration?lang=en,n/a,EzCater,"196 Quincy St, Boston, MA 02125",196 Quincy St,Boston,MA,2125,,
55,Oasis Vegan Veggie Parlor,Confirmed,Boston,,Caribbean,https://boston.eater.com/2017/9/19/16333282/oasis-vegan-veggie-parlor-dorchester,https://www.instagram.com/oasisvvp/,https://www.facebook.com/OasisVeganVeggieParlor/,n/a,n/a,"Grubhub, Doordash","340 Washington St, Boston, MA 02121",340 Washington St,Boston,MA,2121,,
56,Savvor Restaurant and Lounge,Confirmed,Boston,,Caribbean,http://www.savvorbostonlounge.com,https://www.instagram.com/savvorboston/,https://www.facebook.com/savvorbostonlounge/,https://twitter.com/intent/user?screen_name=savvorboston,n/a,Doordash,"180 Lincoln St, Boston, MA 02111",180 Lincoln St,Boston,MA,2111,,
57,Zaz Restaurant,Confirmed,Boston,,Caribbean,http://www.zazrestaurant.com,https://www.instagram.com/zazrestaurant/,https://www.facebook.com/ZAZRestauranthydepark,https://twitter.com/zazrestaurant,n/a,Grubhub,"1238 River St, Boston, MA 02136",1238 River St,Boston,MA,2136,,
58,Oasis Cafe,Confirmed,Boston,,Carribean,http://places.singleplatform.com/oasis-cafe-58/menu?ref=google,,,,,,,,,MA,,,
59,MIDA Restaurant,Confirmed,Boston,https://www.toasttab.com/mida/giftcards,Italian,https://www.midaboston.com,https://www.instagram.com/midaboston/,https://www.facebook.com/mida.boston,https://twitter.com/midarestaurant,n/a,"Caviar, Doordash, toasttab","782 Tremont St, Boston, MA 02118",782 Tremont St,Boston,MA,2118,,6179363490
60,Ideal Sub Shop,Confirmed,Boston,,Sandwiches,n/a,https://www.instagram.com/idealssubshop/,https://www.facebook.com/pages/Ideals-Sub-Shop/204762512890620,n/a,n/a,Seamless,"522 Dudley St, Roxbury, MA 02119",522 Dudley St,Roxbury,MA,2119,,
61,Teranga,Confirmed,Boston,,Senegalese,,,,,,,,,,MA,,,
62,JP Roti Shop,Confirmed,Boston,,Trinidadian,n/a,https://www.instagram.com/j.protishop/,https://www.facebook.com/JP-ROTI-SHOP-1106702066057742/,n/a,n/a,"Doordash, Postmates,","482 Washington St, Boston, MA 02124",482 Washington St,Boston,MA,2124,,
63,Urban Grape,Confirmed,Boston,n/a,Wine Shop,http://theurbangrape.com/,https://www.instagram.com/urbangrape/,https://www.facebook.com/urbangrape,https://twitter.com/urbangrape,https://www.youtube.com/user/TheUrbanGrape,,"303 Columbus Ave, Boston, MA 02116",303 Columbus Ave,Boston,MA,2116,,8572502509
64,Reveille Trading Company,Unconfirmed,Boston,,Beverage Company,https://www.reveille.io/,,,,,,"6595 Roswell Rd Suite G-3066, Atlanta, GA 30328",6595 Roswell Rd Suite G-3066,Atlanta,MA,30328,,
65,Shea Butter Smoothies,Confirmed,Boston,,,https://www.yelp.com/biz/shea-butter-smoothies-boston,https://www.instagram.com/sheabuttersmoothies/,https://www.facebook.com/pages/Shea-Butter-Smoothies/181263279060971,n/a,n/a,"Grubhub, Ubereats","1556 Blue Hill Avenue, Mattapan, MA 02126",1556 Blue Hill Avenue,Mattapan,MA,2126,,
66,Blue Mountain Jamaican Restaurant,Unconfirmed,Boston,@bluemountainja (cashapp),Caribbean,http://bluemountainjamaicanrestaurant.com/,https://www.instagram.com/bluemountainjamaicanrestaurant/,https://www.facebook.com/Blue-Mountain-Jamaican-Restaurant-107603503931028/,n/a,n/a,"Grubhub, Seamless","884 Morton St, Boston, MA 02126",884 Morton St,Boston,MA,2126,,6175337255
67,Country Kitchen,Unconfirmed,Boston,,Caribbean,https://www.yelp.com/biz/country-kitchen-dorchester-center,n/a,https://www.facebook.com/countrykitchen838/,n/a,n/a,"Ubereats, GrubHub","838 Blue Hill Ave, Boston, MA 02124",838 Blue Hill Ave,Boston,MA,2124,,
68,Taste of Eden,Unconfirmed,Boston,,Caribbean,http://www.tasteofedenjamerican.net/,n/a,https://www.facebook.com/tasteofeden7/,n/a,n/a,"doordash, seamless, grubhub, ubereats","38 Norfolk Street, Boston, MA 02124",38 Norfolk Street,Boston,MA,2124,,
69,Murl's Kitchen,Unconfirmed,Boston,,Caribbean,https://www.yelp.com/biz/murls-kitchen-boston,n/a,https://www.facebook.com/murlskitchen/,n/a,n/a,"uber, postmates","143 Washington St, Dorchester, MA 02121",143 Washington St,Dorchester,MA,2121,,
70,Silver Slipper Restaurant,Unconfirmed,Boston,,Diner,https://www.yelp.com/biz/silver-slipper-restaurant-roxbury,https://www.instagram.com/thesilverslipper/,https://www.facebook.com/pages/Silver-Slipper-Restaurant/105921002783527,n/a,n/a,Grubhub,"2387 Washington St, Roxbury, MA 02119",2387 Washington St,Roxbury,MA,2119,,
71,Farmer Horse Coffee,Unconfirmed,Boston,,Ethiopian/Cafe,n/a,n/a,https://www.facebook.com/FarmerHorse/,n/a,n/a,"Grubhub, Seamless","374 Massachusetts Ave, Boston, MA 02115",374 Massachusetts Ave,Boston,MA,2115,,
72,Discover Vegans,(Catering Service),Boston,@DiscoverVegans-V-2 (venmo),Haitian,https://www.discovervegans.co/,https://www.instagram.com/discovervegans/,https://www.facebook.com/discovervegans/,https://twitter.com/discovervegans,n/a,Ubereats,n/a,n/a,,MA,,discovervegans@gmail.com,
73,Farah's Café ,Unconfirmed,Boston,,Haitian,n/a,n/a,https://www.facebook.com/pages/Farahs-Cafe-Restaurant/434943279881816,n/a,n/a,Pick Up ,"1158 River St, Boston, MA 02136",1158 River St,Boston,MA,2136,,
74,Natif Natal,Unconfirmed,Boston,,Haitian,http://ordernatifnatal.com/,n/a,https://www.facebook.com/NatifNatal-1820248448253476/,n/a,n/a,"Grubhub, local, doordash, postmates, ubereats","830 Blue Hill Ave, Boston, MA 02124",830 Blue Hill Ave,Boston,MA,2124,,
75,Nu Flav Restaurant,Unconfirmed,Boston,,Haitian,https://nuflavtogo.com/,https://www.instagram.com/nuflavrestaurant/,https://www.facebook.com/nuflavrestaurant/,n/a,n/a,"Local, doordash, grubhub, ubereats, seamless","1100 Blue Hill Ave, Boston, MA 02124",1100 Blue Hill Ave,Boston,MA,2124,,
76,Island Style Jamaican Restaurant,Unconfirmed,Boston,,Jamaican,n/a,n/a,https://www.facebook.com/islandstyle183/,n/a,n/a,Ubereats,"183 Washington St, Boston, MA 02121",183 Washington St,Boston,MA,2121,,
77,Right Taste Jamaican Restaurant,Unconfirmed,Boston,,Jamaican,https://www.restaurantji.com/ma/boston/right-taste-jamaican-restaurant-/,https://www.instagram.com/righttastejamaican/,https://www.facebook.com/pages/Right-Taste-Jamaican-Restaurant/116358465059578,n/a,n/a,"Doordash, uber eats, ","522 River St, Mattapan, MA 02126",522 River St,Mattapan,MA,2126,,
,On The Edge Nutrition,Unconfirmed,Boston,,Juice/Beverages,https://linktr.ee/OnTheEdgeNutrition,,,,,"Clover, Doordash, Grubhub, Seamless, Uber Eats","283 Old Colony Ave, Boston, MA 02127","283 Old Colony Ave,",Boston,MA,2127,,(617) 752-4056
1,Nectar Lab Boston ,Unconfirmed,Boston,@bombshell617,Juice/Beverages,,,https://www.facebook.com/NectarLabBoston/,,,,,,,MA,,,857-232-1898
2,Millenium Restaurant,Unconfirmed,Boston,,Latin/ Dominican,n/a,n/a,https://www.facebook.com/Millenium-Retaurant-Grill-514028835276795/,n/a,n/a,,"3094 Washington St, Boston, MA 02119",3094 Washington St,Boston,MA,2119,,
3,Doña Habana Restaurant,Not Black Owned,Boston,https://www.toasttab.com/dona-habana-restaurant/giftcards,Latin/Cuban,http://donahabanarestaurant.com/,https://www.instagram.com/donahabana/,https://www.facebook.com/DonaHabana/,n/a,n/a,"Grubhub, DoorDash, Toasttab","811 Massachusetts Ave, Boston, MA 02118",811 Massachusetts Ave,Boston,MA,2118,,6177081182
4,Merengue Restaurant,Unconfirmed,Boston,https://www.toasttab.com/merengue-restaurant/giftcards?utmCampaign=onlineOrdering,Latin/Dominican,http://merenguerestaurant.com/,n/a,https://www.facebook.com/merenguerestaurant,n/a,n/a,"ubereats, grubhub, toasttab","160 Blue Hill Avenue, Boston, MA 02125",160 Blue Hill Avenue,Boston,MA,2125,,6174455403
5,Lucy Ethiopian Cafe,Confirmed,"Boston, Back Bay",@Lucy-Ethiopian-Cafe,Ethiopian,http://places.singleplatform.com/lucy-ethiopian-cafe/menu?ref=google,,https://www.facebook.com/Lucy-Ethiopian-Cafe-375251434602/,,,"Grubhub, seamless, doordash,","334 Massachusetts Ave, Boston, MA 02115",334 Massachusetts Ave,Boston,MA,2115,,617-536-0415
49,Wingz and Tingz,Unconfirmed,"Boston, Dorchester, (Bridgeport, CT)",,Caribbean,https://www.wingzandtingz.com/locations-1,,,,,"Ubereats, doordash, postmates","388 Blue Hill Ave, Boston, MA 02121 and 855 Washington St, Dorchester Center, MA 02124",388 Blue Hill Ave,Boston,MA,2124,,
50,Larry J's BBQ Cafe,Confirmed,"Boston, Revere",,Barbecue,https://www.larryjsbbqcafe.com/,,,,,Grubhub,"600 D St, Boston, MA 02210 and 1148 N Shore Rd, Revere, MA 02151",600 D St,Boston,MA,2151,,
51,Rhythm 'n Wraps,Unconfirmed,Brighton,https://squareup.com/gift/320JBVH54B0ZM/order,Tacos,https://www.rhythmnwraps.com/,,,,,"Grubhub, Caviar, ubereats, seamless","1096 Commonwealth Avenue, Boston, MA 02134",1096 Commonwealth Avenue,Boston,MA,2134,rhythmnwraps@gmail.com,6175664144
52,JJ's Caffe,Confirmed,Brockton,https://www.jjscaffe.com/shop/giftcard,Breakfast,https://www.jjscaffe.com/,https://www.instagram.com/jjscafedallas/,https://www.facebook.com/jjscaffe,n/a,n/a,,"610 N Main St., Brockton, MA 02301",610 N Main St.,Brockton,MA,2301,info@jjscaffe.com,(508) 510-4227
53,Luanda,Confirmed,Brockton,,"Cape Verdean, Angolan",https://www.luandabrockton.com/,,,,,"Doordash, Ubereats","453 Centre St, Brockton, MA 02302, USA",453 Centre St,Brockton,MA,,,
54,Flava Jamaica,Unconfirmed,Brockton,,Jamaican,https://www.flavajamaicarestaurant.com/index.php,,,,,Pick up,"21 Torrey St., Brockton, MA 02301  ",21 Torrey St.,Brockton,MA,301,,
55,Tamboo Bistro ,Confirmed,Brockton ,,Haitian ,https://www.ubereats.com/boston/food-delivery/tamboo-bistro/HxgKrB2FSlWpbxT2yQKb5w?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,,,,,"Ubereats, doordash",,,,MA,,,
56,Jamaica Best Bar + Grill ,Unconfirmed,Brocktown,,Jamaican,https://jamaicas-best.hub.biz/?fbclid=IwAR1ZaEZU7e76zA_xlO4vp6agWdgEX3H1o0I3BxvTt6KKgw3C_zaoje1mnhA,,https://www.facebook.com/Jamaicas-Best-211961072476227/,,,"Doordash,Seamless",,,,MA,,,
